client_id,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age,cohort_label,kmeans_cluster,agglomerative_cluster
C2_20501,Individual,Female,United States,West Coast,Personal Use,Yes,Digital,4,27,C2_First_Time_Buyer,0,0
C3_30086,Corporate,Not Applicable,United States,Southeast,Investment,No,Direct,3,37,C3_Corporate_Buyer,1,0
C3_30153,Corporate,Not Applicable,United Kingdom,Midlands,Personal Use,No,Corporate Partnership,4,43,C3_Corporate_Buyer,1,1
C2_20055,Individual,Other,United States,Northeast,Personal Use,Yes,Friend Referral,3,25,C2_First_Time_Buyer,0,0
C1_10705,Corporate,Not Applicable,Singapore,Central Region,Investment,No,Agent,4,61,C1_Global_Investor,1,1
C1_10106,Individual,Female,United Kingdom,Midlands,Investment,No,Agent,5,56,C1_Global_Investor,1,1
C1_10589,Individual,Female,Canada,Alberta,Investment,No,Corporate Partnership,5,35,C1_Global_Investor,1,1
C2_21468,Individual,Other,Canada,Northeast,Personal Use,Yes,Friend Referral,3,24,C2_First_Time_Buyer,0,0
C2_21413,Individual,Male,United States,Southwest,Personal Use,Yes,Social Media,4,26,C2_First_Time_Buyer,0,0
C2_20600,Individual,Other,Australia,Victoria,Personal Use,Yes,Friend Referral,3,24,C2_First_Time_Buyer,0,0
C2_21464,Individual,Female,United States,Southwest,Personal Use,Yes,Friend Referral,1,33,C2_First_Time_Buyer,0,0
C1_10228,Corporate,Not Applicable,UAE,Sharjah,Investment,No,Agent,4,35,C1_Global_Investor,1,1
C1_10915,Individual,Male,UAE,Ras Al Khaimah,Investment,Yes,Agent,5,63,C1_Global_Investor,1,1
C1_10794,Individual,Other,Germany,Bavaria,Investment,Yes,Digital,4,37,C1_Global_Investor,0,0
C3_30521,Corporate,Not Applicable,United Kingdom,London,Investment,No,Agent,4,33,C3_Corporate_Buyer,1,1
C4_40043,Corporate,Not Applicable,United Kingdom,North West,Investment,No,Friend Referral,4,39,C4_Luxury_Investor,1,1
C2_20073,Individual,Male,Canada,Alberta,Personal Use,Yes,Digital,5,25,C2_First_Time_Buyer,0,0
C3_30851,Corporate,Not Applicable,Singapore,East Region,Personal Use,No,Corporate Partnership,3,41,C3_Corporate_Buyer,1,1
C2_20744,Individual,Other,United Kingdom,Midlands,Investment,Yes,Friend Referral,4,23,C2_First_Time_Buyer,0,0
C2_20084,Individual,Male,United Kingdom,Midlands,Personal Use,Yes,Digital,4,31,C2_First_Time_Buyer,0,0
C1_10926,Individual,Male,Germany,Hamburg,Investment,No,Direct,5,50,C1_Global_Investor,1,1
C3_30549,Corporate,Not Applicable,United States,Northeast,Investment,No,Corporate Partnership,5,54,C3_Corporate_Buyer,1,1
C2_20117,Individual,Male,United States,Southwest,Personal Use,Yes,Agent,4,29,C2_First_Time_Buyer,0,0
C1_10642,Individual,Other,Australia,Northeast,Investment,No,Direct,5,43,C1_Global_Investor,1,1
NX_50367,Individual,Other,Germany,North Rhine-Westphalia,Investment,No,Direct,2,21,Noise,0,0
C1_10501,Individual,Other,Canada,Alberta,Investment,No,Agent,4,34,C1_Global_Investor,0,1
C4_40566,Individual,Other,Switzerland,Zug,Investment,No,Agent,5,37,C4_Luxury_Investor,1,1
C1_10333,Individual,Other,Australia,New South Wales,Investment,No,Direct,5,50,C1_Global_Investor,1,1
NX_50284,Individual,Male,Monaco,Fontvieille,Investment,No,Corporate Partnership,1,49,Noise,0,0
C1_10486,Individual,Other,Hong Kong,New Territories,Investment,No,Corporate Partnership,5,36,C1_Global_Investor,1,1
C2_20962,Individual,Male,United States,Northeast,Personal Use,Yes,Digital,2,27,C2_First_Time_Buyer,0,0
C1_10393,Corporate,Not Applicable,Canada,Quebec,Investment,No,Agent,5,53,C1_Global_Investor,1,1
NX_50442,Individual,Female,Australia,Victoria,Personal Use,No,Agent,4,68,Noise,1,1
NX_50466,Corporate,Not Applicable,United Kingdom,South East,Investment,No,Social Media,3,72,Noise,1,0
C2_20755,Individual,Male,United States,Northeast,Personal Use,Yes,Digital,4,24,C2_First_Time_Buyer,0,0
C3_30015,Corporate,Not Applicable,United States,Midwest,Investment,No,Agent,2,32,C3_Corporate_Buyer,0,0
C4_40085,Corporate,Not Applicable,Monaco,Les Moneghetti,Investment,No,Direct,5,54,C4_Luxury_Investor,1,1
C4_40815,Corporate,Not Applicable,Monaco,Monte Carlo,Investment,No,Agent,5,43,C4_Luxury_Investor,1,1
NX_50566,Individual,Male,Hong Kong,New Territories,Personal Use,Yes,Agent,4,24,Noise,0,0
C2_21099,Individual,Male,United Kingdom,Midlands,Personal Use,Yes,Friend Referral,4,34,C2_First_Time_Buyer,0,0
C4_40099,Individual,Male,United Kingdom,London,Investment,No,Agent,5,61,C4_Luxury_Investor,1,1
C4_40621,Individual,Female,United States,West Coast,Investment,No,Agent,5,62,C4_Luxury_Investor,1,1
C1_10029,Individual,Male,Japan,Osaka,Investment,Yes,Agent,4,40,C1_Global_Investor,1,1
C1_10065,Individual,Female,Germany,Berlin,Investment,No,Direct,5,47,C1_Global_Investor,1,1
C1_10838,Corporate,Not Applicable,Australia,New South Wales,Investment,No,Corporate Partnership,5,56,C1_Global_Investor,1,1
C4_40406,Corporate,Not Applicable,United Kingdom,North West,Investment,No,Agent,5,42,C4_Luxury_Investor,1,1
C4_40273,Individual,Male,UAE,Abu Dhabi,Investment,No,Corporate Partnership,5,62,C4_Luxury_Investor,1,1
NX_50235,Individual,Other,Canada,Ontario,Investment,Yes,Direct,5,62,Noise,1,1
C3_30661,Corporate,Not Applicable,United Kingdom,Scotland,Investment,No,Corporate Partnership,5,40,C3_Corporate_Buyer,1,1
C3_30159,Corporate,Not Applicable,United States,Midwest,Personal Use,Yes,Corporate Partnership,3,38,C3_Corporate_Buyer,0,1
NX_50215,Corporate,Not Applicable,Switzerland,Zug,Investment,Yes,Social Media,4,26,Noise,0,0
NX_50228,Individual,Female,Japan,Nagoya,Personal Use,Yes,Agent,4,52,Noise,1,1
C2_21451,Individual,Female,United States,Southwest,Personal Use,Yes,Agent,4,28,C2_First_Time_Buyer,0,0
C3_30346,Corporate,Not Applicable,Singapore,North Region,Investment,Yes,Direct,4,37,C3_Corporate_Buyer,1,1
C2_20144,Individual,Other,United States,Southeast,Personal Use,No,Digital,3,24,C2_First_Time_Buyer,0,0
C3_30578,Corporate,Not Applicable,UAE,Dubai,Investment,No,Corporate Partnership,2,38,C3_Corporate_Buyer,1,1
C2_20103,Individual,Male,United States,Southwest,Personal Use,Yes,Friend Referral,2,34,C2_First_Time_Buyer,0,0
C1_10168,Individual,Other,Hong Kong,New Territories,Investment,No,Agent,5,60,C1_Global_Investor,1,1
C2_20670,Individual,Other,United Kingdom,London,Personal Use,Yes,Direct,4,32,C2_First_Time_Buyer,0,0
C3_30070,Corporate,Not Applicable,United Kingdom,North West,Investment,No,Agent,3,55,C3_Corporate_Buyer,1,1
C2_21377,Individual,Female,Australia,New South Wales,Personal Use,Yes,Social Media,5,29,C2_First_Time_Buyer,0,0
C4_40895,Individual,Female,UAE,Ras Al Khaimah,Investment,No,Friend Referral,5,44,C4_Luxury_Investor,1,1
C4_40757,Individual,Other,Singapore,East Region,Investment,No,Corporate Partnership,5,35,C4_Luxury_Investor,1,1
C4_40362,Corporate,Not Applicable,United States,Southwest,Investment,No,Corporate Partnership,5,45,C4_Luxury_Investor,1,1
C1_10023,Individual,Other,UAE,Abu Dhabi,Investment,Yes,Corporate Partnership,5,52,C1_Global_Investor,1,1
C3_30133,Corporate,Not Applicable,Singapore,East Region,Investment,No,Agent,3,48,C3_Corporate_Buyer,1,1
C3_30840,Corporate,Not Applicable,UAE,Dubai,Investment,No,Agent,4,44,C3_Corporate_Buyer,1,1
C2_21215,Individual,Other,United States,Southwest,Personal Use,No,Social Media,3,34,C2_First_Time_Buyer,0,0
C4_40182,Corporate,Not Applicable,Monaco,Les Moneghetti,Investment,No,Agent,5,66,C4_Luxury_Investor,1,1
