client_id,cohort_label,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C2_20501,C2_First_Time_Buyer,Individual,Female,United States,West Coast,1996-08-11,Personal Use,Yes,Digital,4
C3_30086,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Southeast,1986-01-07,Investment,No,Direct,3
C3_30153,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Midlands,1980-01-06,Personal Use,No,Corporate Partnership,4
C2_20055,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1998-04-05,Personal Use,Yes,Friend Referral,3
C1_10705,C1_Global_Investor,Corporate,Not Applicable,Singapore,Central Region,1962-03-31,Investment,No,,4
C1_10106,C1_Global_Investor,Individual,Female,United Kingdom,Midlands,1967-05-15,Investment,No,Agent,5
C1_10589,C1_Global_Investor,Individual,Female,Canada,Alberta,1988-03-25,Investment,No,Corporate Partnership,5
C2_21468,C2_First_Time_Buyer,Individual,Other,Canada,,1999-05-16,Personal Use,Yes,Friend Referral,3
C2_21413,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1997-11-02,Personal Use,Yes,Social Media,4
C2_20600,C2_First_Time_Buyer,Individual,Other,Australia,Victoria,1999-09-17,Personal Use,Yes,Friend Referral,3
C2_21464,C2_First_Time_Buyer,Individual,Female,United States,Southwest,1990-11-21,Personal Use,Yes,Friend Referral,1
C1_10228,C1_Global_Investor,Corporate,Not Applicable,UAE,Sharjah,1988-05-03,Investment,No,,4
C1_10915,C1_Global_Investor,Individual,Male,UAE,Ras Al Khaimah,1960-05-06,Investment,Yes,Agent,5
C1_10794,C1_Global_Investor,Individual,Other,Germany,Bavaria,1986-03-07,Investment,Yes,Digital,4
C3_30521,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1990-11-03,Investment,No,Agent,4
C4_40043,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,North West,1984-10-14,Investment,No,Friend Referral,4
C2_20073,C2_First_Time_Buyer,Individual,Male,Canada,Alberta,1998-02-19,Personal Use,Yes,Digital,5
C3_30851,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,East Region,1982-04-25,Personal Use,No,Corporate Partnership,3
C2_20744,C2_First_Time_Buyer,Individual,Other,United Kingdom,Midlands,2000-08-20,Investment,Yes,Friend Referral,4
C2_20084,C2_First_Time_Buyer,Individual,Male,United Kingdom,Midlands,1992-07-14,Personal Use,Yes,Digital,4
C1_10926,C1_Global_Investor,Individual,Male,Germany,Hamburg,1973-05-06,Investment,No,Direct,5
C3_30549,C3_Corporate_Buyer,Corporate,,United States,Northeast,1969-09-18,Investment,No,Corporate Partnership,5
C2_20117,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1994-09-27,Personal Use,Yes,,4
C1_10642,C1_Global_Investor,Individual,Other,Australia,,1980-09-05,Investment,No,Direct,5
NX_50367,Noise,Individual,Other,Germany,North Rhine-Westphalia,2002-09-10,Investment,,Direct,2
C1_10501,C1_Global_Investor,Individual,Other,Canada,Alberta,1989-09-01,Investment,No,Agent,4
C4_40566,C4_Luxury_Investor,Individual,Other,Switzerland,Zug,1986-06-08,Investment,No,Agent,5
C1_10333,C1_Global_Investor,Individual,Other,Australia,New South Wales,1973-03-19,Investment,No,Direct,5
NX_50284,Noise,Individual,Male,Monaco,Fontvieille,1974-09-28,Investment,No,Corporate Partnership,1
C1_10486,C1_Global_Investor,Individual,Other,Hong Kong,New Territories,1987-01-19,Investment,,Corporate Partnership,5
C2_20962,C2_First_Time_Buyer,Individual,Male,United States,,1996-04-23,Personal Use,Yes,Digital,2
C1_10393,C1_Global_Investor,Corporate,Not Applicable,Canada,Quebec,1970-09-24,Investment,No,Agent,5
NX_50442,Noise,Individual,Female,Australia,Victoria,1955-09-27,Personal Use,,Agent,4
NX_50466,Noise,Corporate,Not Applicable,United Kingdom,South East,1951-09-15,Investment,,Social Media,3
C2_20755,C2_First_Time_Buyer,Individual,Male,United States,Northeast,1999-02-11,Personal Use,Yes,Digital,4
C3_30015,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Midwest,1991-10-13,Investment,No,Agent,2
